gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
ACSM2A,ENSG00000183747,ENST00000219054,Q08AH3,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial ",0.739552933,,
ACSM2B,ENSG00000066813,ENST00000565232,Q68CK6,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial ",0.6636232,,
ACSM3,ENSG00000005187,ENST00000440284,Q53FZ2,"Acyl-coenzyme A synthetase ACSM3, mitochondrial ",4.429991962,3.313810478,1994.913907756
ACSM4,ENSG00000215009,ENST00000399422,P0C7M7,"Acyl-coenzyme A synthetase ACSM4, mitochondrial ",0.0,,
ACSM5,ENSG00000183549,ENST00000331849,Q6NUN0,"Acyl-coenzyme A synthetase ACSM5, mitochondrial ",0.064531333,,
ACSM6,ENSG00000173124,ENST00000341686,Q6P461,"Acyl-coenzyme A synthetase ACSM6, mitochondrial ",0.0398821,,
ACSS1,ENSG00000154930,ENST00000323482,Q9NUB1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial ",12.88206467,47.94324273,28861.83212346
ACSS2,ENSG00000131069,ENST00000360596,Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic ",15.12211997,45.03053453,27108.38178706
ACSS3,ENSG00000111058,ENST00000548058,Q9H6R3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial ",1.581868967,5.589424035,3364.8332690700004
ACTA1,ENSG00000143632,ENST00000366684,P68133,"Actin, alpha skeletal muscle ",0.982643,,
ACTA2,ENSG00000107796,ENST00000224784,P62736,"Actin, aortic smooth muscle ",2.743989,,
ACTB,ENSG00000075624,ENST00000646664,P60709,"Actin, cytoplasmic 1 ",1371.437291,917.8588748,552551.0426296
ACTBL2,ENSG00000169067,ENST00000423391,Q562R1,Beta-actin-like protein 2 ,0.0,146.4269977,88149.0526154
ACTC1,ENSG00000159251,ENST00000290378,P68032,"Actin, alpha cardiac muscle 1 ",0.003550867,,
ACTG1,ENSG00000184009,ENST00000573283,P63261,"Actin, cytoplasmic 2 ",3227.271074,34258.17391,20623420.69382
ACTG2,ENSG00000163017,ENST00000409731,P63267,"Actin, gamma-enteric smooth muscle ",0.049990067,,
ACTL10,ENSG00000288649,ENST00000330271,Q5JWF8,Actin-like protein 10,0.015379767,,
ACTL6A,ENSG00000136518,ENST00000429709,O96019,Actin-like protein 6A ,73.41014833,899.1805358,541306.6825516
ACTL6B,ENSG00000077080,ENST00000160382,O94805,Actin-like protein 6B ,0.179795,,
ACTL7A,ENSG00000187003,ENST00000333999,Q9Y615,Actin-like protein 7A ,0.0,,
ACTL7B,ENSG00000148156,ENST00000374667,Q9Y614,Actin-like protein 7B ,0.0259289,,
ACTL8,ENSG00000117148,ENST00000375406,Q9H568,Actin-like protein 8 ,0.429606333,1.058728869,637.354779138
ACTL9,ENSG00000181786,ENST00000324436,Q8TC94,Actin-like protein 9,0.0,,
ACTN1,ENSG00000072110,ENST00000193403,P12814,Alpha-actinin-1 ,57.16056625,654.4424317,393974.3438834
ACTN2,ENSG00000077522,ENST00000542672,P35609,Alpha-actinin-2 ,7.514984333,0.456373484,274.736837368
ACTN3,ENSG00000248746,ENST00000513398,Q08043,Alpha-actinin-3 ,0.004832233,,
ACTN4,ENSG00000130402,ENST00000252699,O43707,Alpha-actinin-4 ,212.2966213,3187.258193,1918729.432186
ACTR10,ENSG00000131966,ENST00000254286,Q9NZ32,Actin-related protein 10 ,52.27977361,216.6122784,130400.5915968
ACTR1A,ENSG00000138107,ENST00000369905,P61163,Alpha-centractin ,88.94371933,817.7956436,492312.9774472
ACTR1B,ENSG00000115073,ENST00000289228,P42025,Beta-centractin ,50.05204,193.4624608,116464.4014016
ACTR2,ENSG00000138071,ENST00000260641,P61160,Actin-related protein 2 ,192.3964303,1924.714034,1158677.848468
ACTR3,ENSG00000115091,ENST00000263238,P61158,Actin-related protein 3 ,159.3151687,1545.525694,930406.467788
ACTR3B,ENSG00000133627,ENST00000397282,Q9P1U1,Actin-related protein 3B ,33.54611533,57.42893466,34572.218665320004
ACTR3C,ENSG00000106526,ENST00000252071,Q9C0K3,Actin-related protein 3C ,3.052622333,,
ACTR5,ENSG00000101442,ENST00000243903,Q9H9F9,Actin-related protein 5 ,15.3285,132.1132144,79532.1550688
ACTR6,ENSG00000075089,ENST00000188312,Q9GZN1,Actin-related protein 6 ,53.8233845,181.0485039,108991.1993478
ACTR8,ENSG00000113812,ENST00000335754,Q9H981,Actin-related protein 8 ,41.206788,209.1941373,125934.8706546
ACTRT1,ENSG00000123165,ENST00000371124,Q8TDG2,Actin-related protein T1 ,0.0,,
ACTRT2,ENSG00000169717,ENST00000378404,Q8TDY3,Actin-related protein T2 ,0.0,,
ACTRT3,ENSG00000184378,ENST00000330368,Q9BYD9,Actin-related protein T3 ,2.957653333,,
ACVR1,ENSG00000115170,ENST00000434821,Q04771,Activin receptor type-1 ,7.073715719,0.633123616,381.140416832
ACVR1B,ENSG00000135503,ENST00000257963,P36896,Activin receptor type-1B ,19.059227,151.0357134,90923.4994668
ACVR1C,ENSG00000123612,ENST00000243349,Q8NER5,Activin receptor type-1C ,1.297060289,,
ACVR2A,ENSG00000121989,ENST00000404590,P27037,Activin receptor type-2A ,6.282392467,4.933386189,2969.898485778
ACVR2B,ENSG00000114739,ENST00000352511,Q13705,Activin receptor type-2B ,14.03001733,5.229855171,3148.3728129419997
ACVRL1,ENSG00000139567,ENST00000388922,P37023,Serine/threonine-protein kinase receptor R3 ,0.484533573,,
ACY1,ENSG00000243989,ENST00000636358,Q03154,Aminoacylase-1 ,17.79314493,73.44231165,44212.2716133
ACY3,ENSG00000132744,ENST00000255082,Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase ,0.0,,
ACYP1,ENSG00000119640,ENST00000238618,P07311,Acylphosphatase-1 ,39.540751,350.2221845,210833.755069
ACYP2,ENSG00000170634,ENST00000394666,P14621,Acylphosphatase-2 ,3.7918598,14.86247915,8947.2124483
ADA,ENSG00000196839,ENST00000372874,P00813,Adenosine deaminase ,17.39099467,69.51310696,41846.89038992
ADA2,ENSG00000093072,ENST00000330232,Q9NZK5,Adenosine deaminase 2 ,0.047526133,,
ADAD1,ENSG00000164113,ENST00000296513,Q96M93,Adenosine deaminase domain-containing protein 1 ,0.0,,
ADAD2,ENSG00000140955,ENST00000315906,Q8NCV1,Adenosine deaminase domain-containing protein 2 ,0.0614401,,
ADAL,ENSG00000168803,ENST00000562188,Q6DHV7,Adenosine deaminase-like protein ,11.7906758,12.76871831,7686.76842262
ADAM10,ENSG00000137845,ENST00000260408,O14672,Disintegrin and metalloproteinase domain-containing protein 10 ,42.87143687,75.85331294,45663.694389879995
ADAM11,ENSG00000073670,ENST00000200557,O75078,Disintegrin and metalloproteinase domain-containing protein 11 ,17.50758367,1.099840952,662.104253104
ADAM12,ENSG00000148848,ENST00000368679,O43184,Disintegrin and metalloproteinase domain-containing protein 12 ,0.01264366,,
ADAM15,ENSG00000143537,ENST00000271836,Q13444,Disintegrin and metalloproteinase domain-containing protein 15 ,61.3607093,22.73222599,13684.80004598
ADAM17,ENSG00000151694,ENST00000310823,P78536,Disintegrin and metalloproteinase domain-containing protein 17 ,14.7086628,45.48123382,27379.70275964
ADAM18,ENSG00000168619,ENST00000265707,Q9Y3Q7,Disintegrin and metalloproteinase domain-containing protein 18 ,0.0,,
ADAM19,ENSG00000135074,ENST00000257527,Q9H013,Disintegrin and metalloproteinase domain-containing protein 19 ,3.221136667,0.438209669,263.802220738
ADAM2,ENSG00000104755,ENST00000265708,Q99965,Disintegrin and metalloproteinase domain-containing protein 2 ,0.0,,
ADAM20,ENSG00000134007,ENST00000256389,O43506,Disintegrin and metalloproteinase domain-containing protein 20 ,0.027058733,,
ADAM21,ENSG00000139985,ENST00000603540,Q9UKJ8,Disintegrin and metalloproteinase domain-containing protein 21 ,0.152909333,,
ADAM22,ENSG00000008277,ENST00000398204,Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22 ,11.152061,5.044767589,3036.950088578
ADAM23,ENSG00000114948,ENST00000264377,O75077,Disintegrin and metalloproteinase domain-containing protein 23 ,12.45595,0.733080898,441.31470059599997
ADAM28,ENSG00000042980,ENST00000265769,Q9UKQ2,Disintegrin and metalloproteinase domain-containing protein 28 ,0.0989306,,
ADAM29,ENSG00000168594,ENST00000359240,Q9UKF5,Disintegrin and metalloproteinase domain-containing protein 29 ,0.027452567,,
ADAM30,ENSG00000134249,ENST00000369400,Q9UKF2,Disintegrin and metalloproteinase domain-containing protein 30 ,0.0,,
ADAM32,ENSG00000275594,ENST00000615420,,,0.921152317,,
ADAM33,ENSG00000149451,ENST00000350009,Q9BZ11,Disintegrin and metalloproteinase domain-containing protein 33 ,0.0204925,,
ADAM7,ENSG00000069206,ENST00000175238,Q9H2U9,Disintegrin and metalloproteinase domain-containing protein 7 ,0.0,,
ADAM8,ENSG00000151651,ENST00000445355,P78325,Disintegrin and metalloproteinase domain-containing protein 8 ,2.550816167,,
ADAM9,ENSG00000168615,ENST00000487273,Q13443,Disintegrin and metalloproteinase domain-containing protein 9 ,39.84151265,45.35020333,27300.82240466
ADAMDEC1,ENSG00000134028,ENST00000256412,O15204,ADAM DEC1 ,0.008117467,,
ADAMTS1,ENSG00000154734,ENST00000284984,Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1 ,55.64953667,31.30886603,18847.93735006
ADAMTS10,ENSG00000142303,ENST00000595838,Q9H324,A disintegrin and metalloproteinase with thrombospondin motifs 10 ,3.301159933,,
ADAMTS12,ENSG00000151388,ENST00000504830,P58397,A disintegrin and metalloproteinase with thrombospondin motifs 12 ,0.056070077,,
ADAMTS13,ENSG00000160323,ENST00000371929,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13 ,10.1017242,,
ADAMTS14,ENSG00000138316,ENST00000373207,Q8WXS8,A disintegrin and metalloproteinase with thrombospondin motifs 14 ,0.05241408,,
ADAMTS15,ENSG00000166106,ENST00000299164,Q8TE58,A disintegrin and metalloproteinase with thrombospondin motifs 15 ,2.776023333,32.19443464,19381.04965328
ADAMTS16,ENSG00000145536,ENST00000274181,Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16 ,0.067628333,,
ADAMTS17,ENSG00000140470,ENST00000268070,Q8TE56,A disintegrin and metalloproteinase with thrombospondin motifs 17 ,6.900213533,,
ADAMTS18,ENSG00000140873,ENST00000282849,Q8TE60,A disintegrin and metalloproteinase with thrombospondin motifs 18 ,0.012145667,,
ADAMTS19,ENSG00000145808,ENST00000638972,Q8TE59,A disintegrin and metalloproteinase with thrombospondin motifs 19 ,2.566872787,,
ADAMTS2,ENSG00000087116,ENST00000274609,O95450,A disintegrin and metalloproteinase with thrombospondin motifs 2 ,5.231982667,0.39213734,236.06667868
ADAMTS20,ENSG00000173157,ENST00000389420,P59510,A disintegrin and metalloproteinase with thrombospondin motifs 20 ,1.7610486,,
ADAMTS3,ENSG00000156140,ENST00000286657,O15072,A disintegrin and metalloproteinase with thrombospondin motifs 3 ,5.464152867,,
ADAMTS4,ENSG00000158859,ENST00000367996,O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4 ,0.287709667,,
ADAMTS5,ENSG00000154736,ENST00000284987,Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5 ,0.037790433,,
ADAMTS6,ENSG00000049192,ENST00000381055,Q9UKP5,A disintegrin and metalloproteinase with thrombospondin motifs 6 ,0.95766807,,
ADAMTS7,ENSG00000136378,ENST00000388820,Q9UKP4,A disintegrin and metalloproteinase with thrombospondin motifs 7 ,1.6678891,,
ADAMTS8,ENSG00000134917,ENST00000257359,Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8 ,0.136450968,,
ADAMTS9,ENSG00000163638,ENST00000498707,Q9P2N4,A disintegrin and metalloproteinase with thrombospondin motifs 9 ,3.722607388,,
ADAMTSL1,ENSG00000178031,ENST00000380545,Q8N6G6,ADAMTS-like protein 1 ,0.168118875,,
ADAMTSL2,ENSG00000197859,ENST00000354484,Q86TH1,ADAMTS-like protein 2 ,0.018185767,,
ADAMTSL3,ENSG00000156218,ENST00000286744,P82987,ADAMTS-like protein 3 ,2.857025677,,
ADAMTSL4,ENSG00000143382,ENST00000369041,Q6UY14,ADAMTS-like protein 4 ,0.814031212,,
ADAP1,ENSG00000105963,ENST00000265846,O75689,Arf-GAP with dual PH domain-containing protein 1 ,13.666874,4.285933673,2580.132071146
ADAP2,ENSG00000184060,ENST00000330889,Q9NPF8,Arf-GAP with dual PH domain-containing protein 2 ,9.633884333,2.68591936,1616.92345472
ADAR,ENSG00000160710,ENST00000368471,P55265,Double-stranded RNA-specific adenosine deaminase ,121.9629387,476.4648514,286831.84054279997
ADARB1,ENSG00000197381,ENST00000360697,P78563,Double-stranded RNA-specific editase 1 ,19.48017188,17.40990769,10480.76442938
ADARB2,ENSG00000185736,ENST00000381312,Q9NS39,Double-stranded RNA-specific editase B2 ,0.017079067,,
ADAT1,ENSG00000065457,ENST00000307921,Q9BUB4,tRNA-specific adenosine deaminase 1 ,48.51549267,26.11311658,15720.09618116
ADAT2,ENSG00000189007,ENST00000237283,Q7Z6V5,tRNA-specific adenosine deaminase 2 ,34.97834333,77.69898416,46774.788464319994
ADCK1,ENSG00000063761,ENST00000238561,Q86TW2,AarF domain-containing protein kinase 1 ,8.802491587,11.47572834,6908.38846068
ADCK2,ENSG00000133597,ENST00000072869,Q7Z695,Uncharacterized aarF domain-containing protein kinase 2 ,43.14541933,1.042396067,627.5224323340001
ADCK5,ENSG00000173137,ENST00000308860,Q3MIX3,Uncharacterized aarF domain-containing protein kinase 5 ,6.0163806,0.19770326,119.01736251999999
ADCY1,ENSG00000164742,ENST00000297323,Q08828,Adenylate cyclase type 1 ,8.577699,,
ADCY10,ENSG00000143199,ENST00000545172,Q96PN6,Adenylate cyclase type 10 ,0.138674467,,
ADCY2,ENSG00000078295,ENST00000338316,Q08462,Adenylate cyclase type 2 ,0.243450367,,
ADCY3,ENSG00000138031,ENST00000260600,O60266,Adenylate cyclase type 3 ,47.55680367,11.46909388,6904.39451576
ADCY4,ENSG00000129467,ENST00000310677,Q8NFM4,Adenylate cyclase type 4 ,0.200617333,,
ADCY5,ENSG00000173175,ENST00000462833,O95622,Adenylate cyclase type 5 ,0.451792305,,
ADCY6,ENSG00000174233,ENST00000550422,O43306,Adenylate cyclase type 6 ,19.73702782,3.993024857,2403.800963914
ADCY7,ENSG00000121281,ENST00000254235,P51828,Adenylate cyclase type 7 ,3.790781966,,
ADCY8,ENSG00000155897,ENST00000286355,P40145,Adenylate cyclase type 8 ,0.0,,
ADCY9,ENSG00000162104,ENST00000294016,O60503,Adenylate cyclase type 9 ,13.21450267,9.366745437,5638.780753074
ADCYAP1,ENSG00000141433,ENST00000450565,P18509,Pituitary adenylate cyclase-activating polypeptide ,0.038839333,,
ADCYAP1R1,ENSG00000078549,ENST00000304166,P41586,Pituitary adenylate cyclase-activating polypeptide type I receptor ,4.875486,,
ADD1,ENSG00000087274,ENST00000398129,P35611,Alpha-adducin ,65.31141767,500.7388955,301444.815091
ADD2,ENSG00000075340,ENST00000407644,P35612,Beta-adducin ,28.2479348,166.1783786,100039.3839172
ADD3,ENSG00000148700,ENST00000277900,Q9UEY8,Gamma-adducin ,40.2585067,270.3709878,162763.33465560002
ADGB,ENSG00000118492,ENST00000397944,Q8N7X0,Androglobin ,0.0265363,,
ADGRA1,ENSG00000197177,ENST00000392607,Q86SQ6,Adhesion G protein-coupled receptor A1 ,0.047351133,,
ADGRA2,ENSG00000020181,ENST00000412232,Q96PE1,Adhesion G protein-coupled receptor A2 ,5.465277333,,
ADGRA3,ENSG00000152990,ENST00000334304,Q8IWK6,Adhesion G protein-coupled receptor A3 ,16.27485561,1.230612073,740.828467946
ADGRB1,ENSG00000181790,ENST00000323289,O14514,Adhesion G protein-coupled receptor B1 ,3.679955997,,
ADGRB2,ENSG00000121753,ENST00000373655,O60241,Adhesion G protein-coupled receptor B2 ,10.11240527,,
ADGRB3,ENSG00000135298,ENST00000370598,O60242,Adhesion G protein-coupled receptor B3 ,1.75654309,,
ADGRD1,ENSG00000111452,ENST00000543617,Q6QNK2,Adhesion G-protein coupled receptor D1 ,0.3514514,,
ADGRD2,ENSG00000180264,ENST00000334810,Q7Z7M1,Adhesion G-protein coupled receptor D2 ,1.0337319,,
ADGRE1,ENSG00000174837,ENST00000381407,Q14246,Adhesion G protein-coupled receptor E1 ,0.174288586,,
ADGRE2,ENSG00000127507,ENST00000315576,Q9UHX3,Adhesion G protein-coupled receptor E2 ,0.216903933,,
ADGRE3,ENSG00000131355,ENST00000253673,Q9BY15,Adhesion G protein-coupled receptor E3 ,0.0,,
ADGRE5,ENSG00000123146,ENST00000357355,P48960,Adhesion G protein-coupled receptor E5 ,7.100039033,,
ADGRF1,ENSG00000153292,ENST00000371243,Q5T601,Adhesion G-protein coupled receptor F1 ,0.214773327,,
ADGRF2,ENSG00000164393,ENST00000398742,Q8IZF7,Adhesion G-protein coupled receptor F2 ,0.017962833,,
ADGRF3,ENSG00000173567,ENST00000311519,Q8IZF5,Adhesion G-protein coupled receptor F3 ,0.791269033,,
ADGRF4,ENSG00000153294,ENST00000327753,Q8IZF3,Adhesion G protein-coupled receptor F4 ,0.00484848,,
ADGRF5,ENSG00000069122,ENST00000265417,Q8IZF2,Adhesion G protein-coupled receptor F5 ,0.04682239,,
ADGRG1,ENSG00000205336,ENST00000388813,Q9Y653,Adhesion G-protein coupled receptor G1 ,0.271628267,,
ADGRG2,ENSG00000173698,ENST00000357544,Q8IZP9,Adhesion G-protein coupled receptor G2 ,0.449874173,,
ADGRG3,ENSG00000182885,ENST00000333493,Q86Y34,Adhesion G protein-coupled receptor G3 ,0.064880433,,
ADGRG4,ENSG00000156920,ENST00000394141,Q8IZF6,Adhesion G-protein coupled receptor G4 ,0.014591377,,
ADGRG5,ENSG00000159618,ENST00000340339,Q8IZF4,Adhesion G-protein coupled receptor G5 ,0.025034467,,
ADGRG6,ENSG00000112414,ENST00000230173,Q86SQ4,Adhesion G-protein coupled receptor G6 ,2.014156237,,
ADGRG7,ENSG00000144820,ENST00000273352,Q96K78,Adhesion G-protein coupled receptor G7 ,0.0,,
ADGRL1,ENSG00000072071,ENST00000340736,O94910,Adhesion G protein-coupled receptor L1 ,53.22914333,6.080649089,3660.5507515779996
ADGRL2,ENSG00000117114,ENST00000319517,O95490,Adhesion G protein-coupled receptor L2 ,36.66727621,37.17401118,22378.75473036
ADGRL3,ENSG00000150471,ENST00000514591,Q9HAR2,Adhesion G protein-coupled receptor L3 ,4.022306695,5.554062581,3343.545673762
ADGRL4,ENSG00000162618,ENST00000370742,Q9HBW9,Adhesion G protein-coupled receptor L4 ,0.0,,
ADGRV1,ENSG00000164199,ENST00000645211,Q8WXG9,Adhesion G-protein coupled receptor V1 ,7.705431831,2.704473855,1628.0932607099999
ADH1A,ENSG00000187758,ENST00000209668,P07327,Alcohol dehydrogenase 1A ,0.0,,
ADH1B,ENSG00000196616,ENST00000305046,P00325,All-trans-retinol dehydrogenase [NAD(+)] ADH1B ,0.031112056,,
ADH1C,ENSG00000248144,ENST00000515683,P00326,Alcohol dehydrogenase 1C ,0.0,,
ADH4,ENSG00000198099,ENST00000265512,P08319,All-trans-retinol dehydrogenase [NAD(+)] ADH4 ,0.281408313,,
ADH5,ENSG00000197894,ENST00000296412,P11766,Alcohol dehydrogenase class-3 ,150.8359873,1406.649202,846802.8196040001
ADH6,ENSG00000172955,ENST00000237653,P28332,Alcohol dehydrogenase 6 ,0.005336867,,
ADH7,ENSG00000196344,ENST00000209665,P40394,All-trans-retinol dehydrogenase [NAD(+)] ADH7 ,1.028699,,
ADHFE1,ENSG00000147576,ENST00000396623,Q8IWW8,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial ",1.117870967,,
ADI1,ENSG00000182551,ENST00000327435,Q9BV57,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase ",79.37963533,1491.539389,897906.712178
ADIG,ENSG00000182035,ENST00000537425,Q0VDE8,Adipogenin,0.024890449,,
ADIPOQ,ENSG00000181092,ENST00000444204,Q15848,Adiponectin ,0.075379433,,
ADIPOR1,ENSG00000159346,ENST00000340990,Q96A54,Adiponectin receptor protein 1 ,90.88614167,31.11930856,18733.82375312
ADIPOR2,ENSG00000006831,ENST00000357103,Q86V24,Adiponectin receptor protein 2 ,43.57234127,19.4790956,11726.4155512
ADIRF,ENSG00000148671,ENST00000372013,Q15847,Adipogenesis regulatory factor ,0.0,,
ADK,ENSG00000156110,ENST00000286621,P55263,Adenosine kinase ,47.93314767,753.1219359,453379.4054118
ADM,ENSG00000148926,ENST00000525063,P35318,Pro-adrenomedullin [Cleaved into: Adrenomedullin ,6.180568333,,
ADM2,ENSG00000128165,ENST00000395738,Q7Z4H4,Protein ADM2 ,0.516301333,,
ADM5,ENSG00000224420,ENST00000420022,C9JUS6,Putative adrenomedullin-5-like protein,3.59364,,
ADNP,ENSG00000101126,ENST00000396032,Q9H2P0,Activity-dependent neuroprotector homeobox protein ,45.03800373,233.7533639,140719.52506780002
ADNP2,ENSG00000101544,ENST00000262198,Q6IQ32,Activity-dependent neuroprotector homeobox protein 2 ,26.37339967,10.46846533,6302.0161286600005
ADO,ENSG00000181915,ENST00000373783,Q96SZ5,2-aminoethanethiol dioxygenase ,17.75753333,141.4351077,85143.9348354
ADORA1,ENSG00000163485,ENST00000309502,P30542,Adenosine receptor A1,1.875558367,,
ADORA2A,ENSG00000128271,ENST00000611543,P29274,Adenosine receptor A2a,7.816644333,,
ADORA2B,ENSG00000170425,ENST00000304222,P29275,Adenosine receptor A2b,12.98661133,,
ADORA3,ENSG00000282608,ENST00000241356,P0DMS8,Adenosine receptor A3,0.0,,
ADPGK,ENSG00000159322,ENST00000311669,Q9BRR6,ADP-dependent glucokinase ,55.604042,241.1066435,145146.199387
ADPRH,ENSG00000144843,ENST00000357003,P54922,[Protein ADP-ribosylarginine] hydrolase ,0.264830308,,
ADPRHL1,ENSG00000153531,ENST00000356501,Q8NDY3,[Protein ADP-ribosylarginine] hydrolase-like protein 1 ,3.301199733,,
ADPRM,ENSG00000170222,ENST00000379774,Q3LIE5,Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase ,4.205542667,8.013764132,4824.286007464
ADPRS,ENSG00000116863,ENST00000373178,Q9NX46,ADP-ribose glycohydrolase ARH3 ,37.65943333,,
ADRA1A,ENSG00000120907,ENST00000519096,P35348,Alpha-1A adrenergic receptor ,0.059321667,,
ADRA1B,ENSG00000170214,ENST00000306675,P35368,Alpha-1B adrenergic receptor ,0.310407,,
ADRA1D,ENSG00000171873,ENST00000379453,P25100,Alpha-1D adrenergic receptor ,0.0,,
ADRA2A,ENSG00000150594,ENST00000280155,P08913,Alpha-2A adrenergic receptor ,0.0078414,,
ADRA2B,ENSG00000274286,ENST00000620793,P18089,Alpha-2B adrenergic receptor ,0.044019233,,
ADRA2C,ENSG00000184160,ENST00000330055,P18825,Alpha-2C adrenergic receptor ,13.00012,,
ADRB1,ENSG00000043591,ENST00000369295,P08588,Beta-1 adrenergic receptor ,0.500630667,,
ADRB2,ENSG00000169252,ENST00000305988,P07550,Beta-2 adrenergic receptor ,0.405062333,,
ADRB3,ENSG00000188778,ENST00000345060,P13945,Beta-3 adrenergic receptor ,0.006992533,,
