ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
66	TRAP complex	Human	thyroid hormone receptor-associated protein complex	HeLa cells	O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0	9282;9862;7067;5469;9968;9440;9967;10025	MI:0004-affinity chromatography technology;MI:0019-coimmunoprecipitation;MI:0276-blue native page	GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634	positive regulation of DNA-templated transcription;signaling receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus	11.02.03.04.01;18.02.07;30.01.09.08;30.01;70.10	transcription activation;regulator of receptor activity;hormone mediated signal transduction;cellular signalling;nucleus	8710870	The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	None	TRAP97 and 93 could not be found in the Uniprot database.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Thyroid hormone receptor alpha;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 17;Thyroid hormone receptor-associated protein 3;Mediator of RNA polymerase II transcription subunit 16	MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16	ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170;ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100;EAR7 ERBA1 NR1A1 THRA1 THRA2;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2;ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230;ARC77 CRSP6 DRIP77 DRIP80 TRAP80;BCLAF2 TRAP150;DRIP92 THRAP5
67	AP4 adaptor complex	Human	None	brain	O00189;Q9UPM8;Q9Y587;Q9Y6B7	9179;23431;11154;10717	MI:0019-coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031;GO:0005515;GO:0006892;GO:0006897;GO:0030133;GO:0005794;GO:0016192	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus;vesicle-mediated transport	14.04;20.01.10;16.01;20.09.07.06;20.09.18.09.01;70.09;70.08;20.09.07	protein targeting, sorting and translocation;protein transport;protein binding;post Golgi transport;endocytosis;intracellular transport vesicles;Golgi;vesicular transport (Golgi network, etc.)	10436028	Adaptor protein complexes (APs) function as vesicle coat components in different membrane traffic pathways.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AP-4 complex subunit mu-1;AP-4 complex subunit epsilon-1;AP-4 complex subunit sigma-1;AP-4 complex subunit beta-1	AP4M1;AP4E1;AP4S1;AP4B1	MUARP2;None;None;None
68	BCDX2 complex	Human	RAD51B-RAD51C-RAD51D-XRCC2 complex	in vitro	O15315;O43502;O43543;O75771	5890;5889;7516;5892	MI:0004-affinity chromatography technology;MI:0019-coimmunoprecipitation;MI:0027-cosedimentation	GO:0006281;GO:0006310;GO:0003677;GO:0005524;GO:0006974;GO:0005634	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.01.05.03;16.03.01;16.19.03;32.01.09;70.10	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	15141025	None	None	The subunits from human of AP1 adaptor complex were expressed in E.coli and purified for the further experiments (PMID:15141025).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DNA repair protein RAD51 homolog 2;DNA repair protein RAD51 homolog 3;DNA repair protein XRCC2;DNA repair protein RAD51 homolog 4	RAD51B;RAD51C;XRCC2;RAD51D	RAD51L1 REC2;RAD51L2;None;RAD51L3
72	R/M complex (RAD50-MRE11 complex)	Human	None	HeLa cells	P49959;Q92878	4361;10111	MI:0071-molecular sieving	GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	10.01.05.01;16.03.01;32.01.09;42.10.03;70.10	DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	9651580	Mre11 by itself has 3' to 5' exonuclease activity that is increased when Mre11 is in a complex with Rad50.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Double-strand break repair protein MRE11;DNA repair protein RAD50	MRE11;RAD50	HNGS1 MRE11A;None
74	HOMER3-IP3R-TRPC1 complex	Human	HOMER3-ITPR3-TRPC1 complex	HEK 293 cells	P48995;Q14573;Q9NSC5	7220;3710;9454	MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0008324;GO:0006812;GO:0005216;GO:0023052;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane	20.01.01.01;20.03.01.01;30.01;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;cellular signalling;eukaryotic plasma membrane / membrane attached	14505576	An adaptor protein, termed Homer, facilitates a physical association between TRPC1 and the IP(3)R that is required for the TRP channel to respond to signals. The TRPC1-Homer-IP(3)R complex is dynamic and its disassembly parallels TRPC1 channel activation. Homer's action depends on its ability to crosslink and is blocked by the dominant-negative immediate early gene form, H1a. Since H1a is transcriptionally regulated by cellular activity, this mechanism can affect both short and long-term regulation of TRPC1 function. TRPC1 is present at the plasma membrane.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Short transient receptor potential channel 1;Inositol 1,4,5-trisphosphate receptor type 3;Homer protein homolog 3	TRPC1;ITPR3;HOMER3	TRP1;None;None
81	Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)	Human	Cul7-Rbx1-Skp1-F-Fbx29 complex	293FR cells (generated by authors)	P62877;P63208;Q14999;Q8N3Y1	9978;6500;9820;26259	MI:0004-affinity chromatography technology	GO:0016567;GO:0006511	protein ubiquitination;ubiquitin-dependent protein catabolic process	14.07.05;14.13.01.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)	12481031	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-7;F-box/WD repeat-containing protein 8	RBX1;SKP1;CUL7;FBXW8	RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;KIAA0076;FBW6 FBW8 FBX29 FBXO29 FBXW6
86	NUMAC complex (nucleosomal methylation activator complex)	Human	CARM1-associated complex	None	O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9	8289;6597;60;6598;10498;6601;6599;6605;6602;57410	MI:0004-affinity chromatography technology;MI:0029-cosedimentation through density gradient	GO:0006265;GO:0045893;GO:0018126;GO:0006479;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;14.07.09;16.03.01;30.01.09.08;30.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus	14729568	In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AT-rich interactive domain-containing protein 1A;Transcription activator BRG1;Actin, cytoplasmic 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Histone-arginine methyltransferase CARM1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1;N-terminal kinase-like protein	ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF190A BRG1 SNF2B SNF2L4;None;BAF47, INI1, SNF5L1;PRMT4;BAF170;BAF155;BAF57;BAF60A;CVAK90 GKLP NTKL TAPK TEIF TRAP
87	Nup 107-160 subcomplex	Human	NPC subcomplex	HeLa cells	P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27	4928;6396;57122;23279;348995;79023;55746;81929;79902	MI:0019-coimmunoprecipitation;MI:0029-cosedimentation through density gradient	GO:0015031;GO:0051169;GO:0000775	protein transport;nuclear transport;chromosome, centromeric region	20.01.10;20.09.01;70.10.04	protein transport;nuclear transport;centromere / kinetochore	15146057	All trafficking of macromolecules between the cytoplasm and the nucleus occurs through nuclear pore complexes (NPCs), which are supramolecular assemblies at points of fusion between the inner and outer nuclear membranes. NPCs are composed of an eightfold symmetric spoke-ring complex, cytoplasmic fibers, and a nuclear basket.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Nuclear pore complex protein Nup98-Nup96;Protein SEC13 homolog;Nuclear pore complex protein Nup107;Nuclear pore complex protein Nup160;Nucleoporin Nup43;Nucleoporin Nup37;Nuclear pore complex protein Nup133;Nucleoporin SEH1;Nuclear pore complex protein Nup85	NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85	ADAR2;D3S1231E SEC13A SEC13L1 SEC13R;None;KIAA0197 NUP120;None;None;None;SEC13L SEH1;NUP75 PCNT1
91	FA complex (Fanconi anemia complex), cytoplasmic	Human	None	HeLa cells	O15287;O15360;Q00597;Q9NPI8	2189;2175;2176;2188	MI:0004-affinity chromatography technology;MI:0069-mass spectrometry studies of complexes	GO:0016567;GO:0006974;GO:0005737	protein ubiquitination;cellular response to DNA damage stimulus;cytoplasm	14.07.05;32.01.09;70.03	modification by ubiquitination, deubiquitination;DNA damage response;cytoplasm	15082718	None	FA complex is involved in Fanconi anemia (FA) disease (PMID:15082718).	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Fanconi anemia group G protein;Fanconi anemia group A protein;Fanconi anemia group C protein;Fanconi anemia group F protein	FANCG;FANCA;FANCC;FANCF	XRCC9;FAA FACA FANCH;FAC FACC;None
92	CD28-transactivation complex	Human	None	None	P10747;P19338	940;4691	MI:0004-affinity chromatography technology	GO:0006352;GO:2001141;GO:0006355;GO:0005634	DNA-templated transcription initiation;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	11.02.03.01.01;11.02.03.04;70.10	transcription initiation;transcriptional control;nucleus	12324461	None	None	None	Homo sapiens (Human);Homo sapiens (Human)	T-cell-specific surface glycoprotein CD28;Nucleolin	CD28;NCL	None;None
93	Anaphase-promoting complex	Human	APC; cyclosome	None	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6	996;8881;64682;8697;51434;51433;29945;29882	MI:0019-coimmunoprecipitation	GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus	10.03.01.01;10.03.01;14.07.05;16.01;70.10	mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by ubiquitination, deubiquitination;protein binding;nucleus	9469815	The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Cell division cycle protein 27 homolog;Cell division cycle protein 16 homolog;Anaphase-promoting complex subunit 1;Cell division cycle protein 23 homolog;Anaphase-promoting complex subunit 7;Anaphase-promoting complex subunit 5;Anaphase-promoting complex subunit 4;Anaphase-promoting complex subunit 2	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2	ANAPC3 D0S1430E D17S978E;ANAPC6;TSG24;ANAPC8;APC7;APC5;APC4;APC2 KIAA1406
95	Ku antigen-NARG1 complex	Human	OCFRE-binding complex	MC3T3-E1 cells	P12956;P13010;Q9BXJ9	2547;7520;80155	MI:0004-affinity chromatography technology	GO:2001141;GO:0006355;GO:0003677	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;DNA binding	11.02.03.04;16.03.01	transcriptional control;DNA binding	12145306	This complex regulates osteocalcin gene expression.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;N-alpha-acetyltransferase 15, NatA auxiliary subunit	XRCC6;XRCC5;NAA15	G22P1;G22P2;GA19 NARG1 NATH TBDN100
96	Anaphase-promoting complex	Human	APC; cyclosome	None	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13	996;8881;64682;8697;51434;51433;29945;29882;10393	MI:0019-coimmunoprecipitation	GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634;GO:0006511	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process	10.03.01.01;10.03.01;14.07.05;16.01;70.10;14.13.01.01	mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by ubiquitination, deubiquitination;protein binding;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)	10318877	The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Cell division cycle protein 27 homolog;Cell division cycle protein 16 homolog;Anaphase-promoting complex subunit 1;Cell division cycle protein 23 homolog;Anaphase-promoting complex subunit 7;Anaphase-promoting complex subunit 5;Anaphase-promoting complex subunit 4;Anaphase-promoting complex subunit 2;Anaphase-promoting complex subunit 10	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10	ANAPC3 D0S1430E D17S978E;ANAPC6;TSG24;ANAPC8;APC7;APC5;APC4;APC2 KIAA1406;APC10
98	p300-MDM2-p53 protein complex	Human	None	None	P04637;Q00987;Q09472	7157;4193;2033	MI:0091-chromatography technology	GO:2001141;GO:0006355;GO:0030234;GO:0050790;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;enzyme regulator activity;regulation of catalytic activity;nucleus	11.02.03.04;18.02.01;70.10	transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus	11070080	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Cellular tumor antigen p53;E3 ubiquitin-protein ligase Mdm2;Histone acetyltransferase p300	TP53;MDM2;EP300	P53;None;P300
100	hNURF complex	Human	None	None	P28370;Q09028;Q12830;Q16576	6594;5928;2186;5931	MI:0071-molecular sieving;MI:0226-ion exchange chromatography	GO:0006265;GO:2001141;GO:0006355;GO:0022008;GO:0048699;GO:0051276;GO:0030182;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;neurogenesis;generation of neurons;chromosome organization;neuron differentiation;nucleus	10.01.09.05;11.02.03.04;41.05.13;42.10.03;43.03.13;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;neurogenesis;organization of chromosome structure;neuron;nucleus	14609955	NURF is a member of the ISWI-containing chromatin remodeling complexes.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Probable global transcription activator SNF2L1;Histone-binding protein RBBP4;Nucleosome-remodeling factor subunit BPTF;Histone-binding protein RBBP7	SMARCA1;RBBP4;BPTF;RBBP7	SNF2L SNF2L1;RBAP48;FAC1 FALZ;RBAP46
103	RNA polymerase II holoenzyme complex	Human	None	HeLa cells	O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759	5433;2963;2068;5432;5434;2071;6908;5430;2960;2961;5431;2965;2962;5438;5437;5439;5440;5435;5436;5441;2959;2966;2967;2968	MI:0004-affinity chromatography technology	GO:0006351;GO:0003677;GO:0005634	DNA-templated transcription;DNA binding;nucleus	11;16.03.01;70.10	TRANSCRIPTION;DNA binding;nucleus	9305922	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DNA-directed RNA polymerase II subunit RPB4;General transcription factor IIF subunit 2;General transcription and DNA repair factor IIH helicase subunit XPD;DNA-directed RNA polymerase II subunit RPB3;DNA-directed RNA polymerases I, II, and III subunit RPABC1;General transcription and DNA repair factor IIH helicase subunit XPB;TATA-box-binding protein;DNA-directed RNA polymerase II subunit RPB1;General transcription factor IIE subunit 1;Transcription initiation factor IIE subunit beta;DNA-directed RNA polymerase II subunit RPB2;General transcription factor IIH subunit 1;General transcription factor IIF subunit 1;DNA-directed RNA polymerase II subunit RPB9;DNA-directed RNA polymerases I, II, and III subunit RPABC3;DNA-directed RNA polymerase II subunit RPB11-a;DNA-directed RNA polymerases I, II, and III subunit RPABC4;DNA-directed RNA polymerases I, II, and III subunit RPABC2;DNA-directed RNA polymerase II subunit RPB7;DNA-directed RNA polymerases I, II, and III subunit RPABC5;Transcription initiation factor IIB;General transcription factor IIH subunit 2;General transcription factor IIH subunit 3;General transcription factor IIH subunit 4	POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4	None;RAP30;XPD XPDC;None;None;XPB XPBC;GTF2D1 TF2D TFIID;POLR2;TF2E1;TF2E2;None;BTF2;RAP74;None;None;POLR2J1;None;POLRF;RPB7;None;TF2B TFIIB;BTF2P44;None;None
